tag,group,description
landing,travel,Arrival in promised land
voyage,travel,Ocean crossing
seed-grow,climate,Agricultural success of Old World seeds
small-plates,source,From small plates layer
high-signal,meta,Especially important geographic constraint
narrow-neck,landform,Narrow neck of land references
sidon,hydrology,River Sidon references
land-northward,direction,Land northward
land-southward,direction,Land southward
bountiful-old-world,place,Old World Bountiful
botanical,evidence,Plant/crop evidence
