n,id,domain,era,claim,bom_hints,meso_hint,strength,contested
1,mc-c-001,writing_records,multi,"Multiple writing systems in Mesoamerica from early periods",1 Nephi 1:2|Mosiah 1:3,"Olmec/Epi-Olmec/Maya scripts & related systems",medium,no
2,mc-c-002,writing_records,multi,"Lineage histories as political validation documents",Omni 1:14–19|Mosiah 25,"Mesoamerican dynastic/lineage records",medium,no
3,mc-c-003,writing_records,multi,"Records of events kept by elite scribes",1 Nephi 9|Words of Mormon,"Scribal elites",medium,no
4,mc-c-004,writing_records,multi,"Letters / written military communication",Alma 54–60,"Written messages among polities",medium,no
5,mc-c-005,writing_records,multi,"Genealogies preserved in records",Ether 1|1 Nephi 5,"Genealogical lists on monuments/codices",medium,no
6,mc-c-006,writing_records,multi,"Sacred plates / durable records",Jacob 1:2|Mormon 1,"Durable media for important texts",low,yes
7,mc-c-007,writing_records,multi,"Records hidden / deposited in hills",Mormon 1:2–3|Mormon 6:6,"Caching of ritual objects (analogy)",low,yes
8,mc-c-008,writing_records,multi,"Translation / interpretation of unknown scripts",Mosiah 8:12–13|Mosiah 28,"Specialists for foreign/glyphic texts",low,yes
9,mc-c-009,writing_records,multi,"Multiple books among the people",Helaman 3:15,"Codices and painted books",medium,no
10,mc-c-010,writing_records,multi,"Prophetic / predictive content in records",1 Nephi 5:19,"Divinatory and prophetic texts",low,yes
11,mc-c-011,writing_records,multi,"Records used in intergroup competition",Mosiah 10:12–17,"Origin stories justifying conflict",medium,no
12,mc-c-012,writing_records,multi,"Literacy among elite religious leaders",Alma 33|3 Nephi 23,"Priestly literacy",medium,no
13,mc-c-013,writing_records,multi,"Civil records of judges / government",Alma 1–4|Helaman 1,"Administrative recording",low,yes
14,mc-c-014,writing_records,multi,"Engraved large stones with history",Omni 1:20,"Stelae and monumental inscriptions",high,no
15,mc-c-015,writing_records,multi,"Bilingual / dual-language capability",Omni 1:17–18|Mosiah 1:2–4,"Multilingual Mesoamerican elites",medium,no
16,mc-c-016,writing_records,multi,"Teaching language and writing to elite children",Mosiah 1:2–4,"Scribal education",medium,no
17,mc-c-017,writing_records,multi,"Abridgment practice by later editors",Words of Mormon|Mormon 5,"Compilation of earlier sources",medium,no
18,mc-c-018,writing_records,multi,"Use of records to settle identity disputes",Mosiah 25:1–13,"Charter documents for groups",medium,no
19,mc-c-019,writing_records,multi,"Public reading of records to multitudes",Mosiah 2|3 Nephi 23,"Public ceremonial reading",medium,no
20,mc-c-020,writing_records,multi,"Maps/mental geography in war letters",Alma 56–58,"Spatial literacy of commanders",medium,no
21,mc-c-021,writing_records,multi,"Interpreters / seers for sealed records",Mosiah 8:13–17,"Ritual specialists (analogy)",low,yes
22,mc-c-022,writing_records,multi,"Falsified or competing historical claims",Alma 30|3 Nephi 1,"Propaganda and counter-histories",low,no
23,mc-c-023,writing_records,multi,"Record-keeping lineages",Omni|Mormon 1,"Hereditary scribal lines",medium,no
24,mc-c-024,writing_records,multi,"Secular + sacred content mixed in corpus",Helaman 3:13–15,"Mixed content codices",low,no
25,mc-c-025,writing_records,multi,"Withholding of secret records",Alma 37:27–29,"Restricted ritual knowledge",low,yes
26,mc-c-026,human_biology,multi,"Phenotypic diversity among populations",2 Nephi 5:21|Alma 3,"Artistic diversity in figurines/murals",low,yes
27,mc-c-027,human_biology,multi,"Bearded figures in art (Mediterranean-looking claims)",1 Nephi 18,"Bearded figures in some Mesoamerican art",low,yes
28,mc-c-028,human_biology,multi,"Skin marks as social/religious identity markers",Alma 3:4–18,"Body paint, scarification, tattoos",medium,no
29,mc-c-029,human_biology,multi,"Population capable of large armies",Alma 2|Mormon 6,"High density population zones",medium,no
30,mc-c-030,human_biology,multi,"Disease and pestilence as historical factors",Mosiah 17|3 Nephi 8–9,"Epidemic disease in Mesoamerican history",medium,no
31,mc-c-031,human_biology,multi,"Famine affecting whole regions",Helaman 11|Ether 9,"Drought/famine cycles",medium,no
32,mc-c-032,human_biology,multi,"Mixed heritage populations",Omni 1:14–19|Helaman 6,"Multiethnic polities",medium,no
33,mc-c-033,human_biology,multi,"Child sacrifice reports (late period)",Mormon 4:14–15|Moroni 9,"Child sacrifice in some contexts",medium,yes
34,mc-c-034,human_biology,multi,"Cannibalism reports in extreme war",Moroni 9:8–10,"War cannibalism claims in ethnohistory",low,yes
35,mc-c-035,human_biology,multi,"Intermarriage between elite groups",Alma 17–20|4 Nephi,"Elite marriage alliances",medium,no
36,mc-c-036,human_biology,multi,"Depopulation after genocidal war",Mormon 6–8|Ether 15,"Collapse/depopulation episodes",medium,no
37,mc-c-037,human_biology,multi,"Rapid demographic growth after peace",4 Nephi 1|Helaman 11,"Post-conflict rebound",low,no
38,mc-c-038,human_biology,multi,"Ritual body modification for identity",Alma 3,"Identity marking practices",medium,no
39,mc-c-039,human_biology,multi,"Longevity claims for some rulers (Jaredite literary)",Ether 7–10,"Legendary long reigns",low,yes
40,mc-c-040,human_biology,multi,"Physical rhetoric of strength/weakness in war",Mosiah 9|Alma 48,"Artistic stature conventions",low,yes
41,mc-c-041,political_economy,multi,"Elite domination of wealth and land",Jacob 2|Alma 4|Helaman 6,"Stratified Mesoamerican societies",high,no
42,mc-c-042,political_economy,multi,"Tribute extraction by rulers",Mosiah 7:22|Mosiah 19,"Tribute economies",high,no
43,mc-c-043,political_economy,multi,"Divine kingship ideology",Mosiah 2|Ether 6,"Divine/sacral kingship",medium,no
44,mc-c-044,political_economy,multi,"Priests validating elite power",Mosiah 11|Alma 1,"Priest–ruler complexes",medium,no
45,mc-c-045,political_economy,multi,"Luxury goods: gold, silver, fine textiles",Alma 1:29|Alma 4:6,"Prestige goods exchange",medium,no
46,mc-c-046,political_economy,multi,"Markets and trade routes",Helaman 6:7–9|Helaman 7:10,"Markets and long-distance trade",high,no
47,mc-c-047,political_economy,multi,"Chief market in capital city",Helaman 7:10,"Central marketplace",medium,no
48,mc-c-048,political_economy,multi,"Shipping of timber and goods",Helaman 3:10|Alma 63,"Waterborne bulk transport",medium,no
49,mc-c-049,political_economy,multi,"Corvée labor / public works",Alma 48–50|3 Nephi 3,"Labor drafts for fortifications",medium,no
50,mc-c-050,political_economy,multi,"Wealth inequality leading to schism",Alma 4|Helaman 3–4,"Class tension",medium,no
51,mc-c-051,political_economy,multi,"Control of agricultural surplus",Mosiah 9|Alma 62,"Maize surplus politics",medium,no
52,mc-c-052,political_economy,multi,"Ransom / exchange of prisoners",Alma 54–55|Alma 57,"Captive economies",medium,no
53,mc-c-053,political_economy,multi,"Secret combinations for gain",Helaman 6|Ether 8,"Factional cartels (analogy)",low,yes
54,mc-c-054,political_economy,multi,"King-men seeking monarchy for status",Alma 51|Alma 61,"Elite factionalism",medium,no
55,mc-c-055,political_economy,multi,"Taxation under kings and judges",Mosiah 2|Mosiah 29,"Tribute/tax institutions",medium,no
56,mc-c-056,political_economy,multi,"Trade destruction during war",Helaman 4|3 Nephi 4,"War disrupting exchange",medium,no
57,mc-c-057,political_economy,multi,"Land grants to refugees",Alma 27:22|Alma 35,"State resettlement",medium,no
58,mc-c-058,political_economy,multi,"Military provisioning logistics",Alma 56–58|Alma 60,"Army supply lines",medium,no
59,mc-c-059,political_economy,multi,"Foreign merchants / interregional contact",Helaman 6:7–8,"Long-distance specialists",low,yes
60,mc-c-060,political_economy,multi,"Peace converting military labor to building",Alma 50|4 Nephi,"Demilitarization phases",low,no
61,mc-c-061,society,multi,"Corporate kin groups over pure individualism",Mosiah 6|Alma 1,"House/kin corporate groups",medium,no
62,mc-c-062,society,multi,"Class structures: nobles vs commoners",Alma 32|3 Nephi 6,"Elite/commoner stratification",high,no
