n,id,site_name,lat,lng,region,eras,bom_features,correlation,confidence,contested,pass_a_ids,verse_hints
1,site-tehuantepec-isthmus,"Isthmus of Tehuantepec (region)",17,-94.75,"Oaxaca / Veracruz / Tabasco corridor, Mexico",multi|pre_600bc|600bc_1bc|ad200_400,narrow-neck|bountiful-nw|desolation,"Primary narrow neck of land in limited Mesoamerica model.",high,no,mc-map-01-narrow-neck|mc-map-02-narrow-pass|mc-map-06-day-half-neck,Alma 22:32|Alma 50:34|Alma 63:5|Mormon 2:29
2,site-san-lorenzo,"San Lorenzo Tenochtitlán",17.755,-94.76,"Veracruz, Mexico (Coatzacoalcos basin)",pre_600bc,narrow-neck|sea-east|sea-west,"Analogy for Jaredite ‘great city by the narrow neck’ (Ether 10:20) — early isthmian monumentality.",low,yes,mc-map-24-jaredite-great-city-neck,Ether 10:20
3,site-la-venta,"La Venta",18.103,-94.041,"Tabasco, Mexico",pre_600bc|600bc_1bc,mulek|narrow-neck|sea-east,"Often proposed for city of Mulek / isthmian east-lowland complexity; also Jaredite-era analogy.",low,yes,mc-map-23-mulek-la-venta|mc-map-24-jaredite-great-city-neck,Alma 51:26|Alma 52|Ether 10:20
4,site-tres-zapotes,"Tres Zapotes",18.47,-95.44,"Veracruz, Mexico",pre_600bc|600bc_1bc|ad1_200,desolation|cumorah,"Gulf lowland continuity near Tuxtlas / land northward theater (soft regional pin).",low,yes,mc-map-18-desolation-north-neck,Alma 22:30|Helaman 3:3–11
5,site-cerro-el-vigia,"Cerro El Vigía",18.45,-95.25,"Tuxtla Mountains, Veracruz, Mexico",ad200_400|pre_600bc,cumorah|desolation,"Classic limited-model southern Cumorah / Ramah candidate.",low,yes,mc-map-22-cumorah-vigia,Mormon 6:2–6|Ether 15:11
6,site-lake-catemaco,"Lake Catemaco / Tuxtlas lakes district",18.42,-95.11,"Veracruz, Mexico",ad200_400|multi,cumorah,"Supports ‘land of many waters, rivers, and fountains’ near Cumorah candidate.",low,yes,mc-map-22-cumorah-vigia,Mormon 6:4
7,site-kaminaljuyu,"Kaminaljuyú",14.635,-90.55,"Guatemala City valley, Guatemala",600bc_1bc|ad1_200,nephi,"City of Nephi candidate (highland capital).",low,yes,mc-map-08-city-nephi-kj|mc-map-07-nephi-highlands,2 Nephi 5:8|Mosiah 9–22|Alma 22
8,site-valley-guatemala,"Valley of Guatemala (highland basin)",14.6,-90.5,"Guatemala",600bc_1bc|multi,nephi|shilom|shemlon,"Land of Nephi highland basin (regional, not single site).",medium,no,mc-map-07-nephi-highlands,Omni 1:12–13|Mosiah 7|Alma 17:8
9,site-lake-atitlan,"Lake Atitlán",14.69,-91.2,"Sololá, Guatemala",ad1_200|600bc_1bc,nephi,"Speculative Lamanite Jerusalem / waters-come-up destruction parallel (3 Nephi 9:7).",low,yes,mc-map-25-jerusalem-atitlan,Alma 21:1–2|3 Nephi 9:7
10,site-santa-rosa,"Santa Rosa (upper Grijalva)",16.1,-92.55,"Chiapas, Mexico (site inundated by Angostura reservoir)",600bc_1bc|ad1_200,zarahemla|sidon,"Classic Sorenson city of Zarahemla candidate on upper Grijalva.",low,yes,mc-map-10-city-zarahemla-santa-rosa|mc-map-09-zarahemla-grijalva,Omni 1:13–19|Alma 2|Helaman 1:18–19
