n,id,title,bom_features,real_world,map_lab,confidence,contested,verse_hints,claim,source
1,mc-map-01-narrow-neck,"Narrow neck of land",narrow-neck,"Isthmus of Tehuantepec (southern Mexico)",both,high,no,Alma 22:32|Alma 63:5|Ether 10:20,"Primary neck between land southward and land northward maps to Tehuantepec isthmus.","Sorenson limited-geo tradition; FAIR Reading Mormon’s Codex"
2,mc-map-02-narrow-pass,"Narrow pass within the neck",narrow-neck|bountiful-nw|desolation,"Elevated dry corridor through Tehuantepec (above seasonal flood plain) used by ancient/modern routes N–S",constraint,high,no,Alma 50:34|Alma 52:9|Mormon 3:5,"Strategic pass connecting land northward/southward inside the neck; not the whole isthmus width.","Sorenson FAIR 2012 (explicit example of the 25)"
3,mc-map-03-sea-west,"Sea west",sea-west,"Pacific Ocean west of the Mesoamerican stage",place,high,no,Alma 22:27|Alma 63:5|Helaman 3:8,"West sea = Pacific; Hagoth launches on west sea by the neck.","AAS / Codex geography package"
4,mc-map-04-sea-east,"Sea east",sea-east,"Gulf of Mexico / Caribbean-facing side of the stage (exact embayment model-dependent)",place,high,no,Alma 22:27|Alma 27:22|Alma 50:13,"East sea bounds the east-sea city chain and Jershon.","AAS / Codex geography package"
5,mc-map-05-nearly-surrounded,"Land southward nearly surrounded by water",narrow-neck|sea-east|sea-west,"Mesoamerican block south of Tehuantepec with seas east and west",constraint,high,no,Alma 22:32,"Small neck + seas create ‘nearly surrounded’ geography at limited scale.","Alma 22 + limited-geo reading"
6,mc-map-06-day-half-neck,"Day-and-a-half journey on the neck line",narrow-neck|sea-east|sea-west|bountiful-nw,"Tehuantepec isthmus width traversable ~1.5 days for a Nephite (model day-mile band)",constraint,medium,no,Alma 22:32,"East–west transit time across neck region fits isthmus scale under 15–20 mi/day open.","Sorenson distance essays; AAS"
7,mc-map-07-nephi-highlands,"Land of Nephi = southern Guatemala highlands",nephi,"Highland Guatemala (Valley of Guatemala region)",place,medium,no,2 Nephi 5:8|Omni 1:12|Mosiah 7,"Nephi is highland relative to Zarahemla; up/down language.","AAS / Codex"
8,mc-map-08-city-nephi-kj,"City of Nephi ≈ Kaminaljuyú",nephi,"Kaminaljuyú, Valley of Guatemala (urbanization / wall traditions cited by Sorenson)",site_pin,low,yes,2 Nephi 5|Mosiah 9–22,"Site-level correlation for city of Nephi; not required for relative map.","AAS site correlations; Codex archaeology sections"
9,mc-map-09-zarahemla-grijalva,"Land of Zarahemla = Grijalva basin",zarahemla|sidon,"Upper/middle Grijalva depression, Chiapas / extreme southern Mexico",place,medium,no,Omni 1:13–19|Alma 2,"Zarahemla lowland basin drained by Sidon.","AAS / Codex"
10,mc-map-10-city-zarahemla-santa-rosa,"City of Zarahemla ≈ Santa Rosa (upper Grijalva)",zarahemla,"Santa Rosa site area on upper Grijalva (now inundated; still cited as correlation)",site_pin,low,yes,Omni 1:13|Alma 2,"Topographic isolation + mountain barrier fit cited for Santa Rosa correlation.","AAS; Codex archaeology"
